Answer,Responses,Percent
Asking for legislation,165,0.3101503759398496
Convening conferences or workshops,208,0.39097744360902253
Raising awareness,214,0.40225563909774437
Providing resources or funding,212,0.39849624060150374
Increasing government attention,217,0.40789473684210525
Training government officials,146,0.2744360902255639
Contributing to a government action plan,114,0.21428571428571427
Other,43,0.08082706766917293
Don't know,26,0.04887218045112782
The US has not been involved in trafficking issues,166,0.31203007518796994
Total,532,NA
